O/F	temp	isp	mw	cstar	gamma
64.90277	644.58	962.4544921352563	31.523	611.3	1.3336
48.50865	867.51	1190.5	31.369	716.0	1.3078
38.64617	1075.6	1345.8	31.216	803.1	1.2908
32.06032	1272.11	1482.6	31.064	878.7	1.2784
27.35081	1458.8	1605.6	30.914	946.1	1.268
23.81575	1636.41	1717.8	30.765	1007.1	1.2589
21.06453	1805.32	1821.2	30.616	1062.8	1.2507
18.86246	1965.62	1916.8	30.467	1114.1	1.2433
17.06004	2117.28	2005.7	30.315	1161.4	1.2367
15.55753	2260.17	2088.3	30.159	1205.2	1.2308
14.28582	2394.2	2165.3	29.998	1245.7	1.2255
13.19553	2519.34	2237.0	29.83	1283.3	1.2207
12.25041	2635.69	2303.8	29.655	1318.1	1.2165
11.42329	2743.47	2366.1	29.47	1350.5	1.2128
10.69336	2843.03	2424.3	29.277	1380.8	1.2095
10.04445	2934.81	2478.8	29.075	1409.0	1.2065
9.46377	3019.32	2529.9	28.864	1435.5	1.2039
8.9411	3097.09	2578.0	28.646	1460.5	1.2016
8.46817	3168.66	2623.4	28.42	1484.0	1.1996
8.03818	3234.54	2666.3	28.189	1506.4	1.1978
7.64556	3295.22	2707.1	27.951	1527.6	1.1961
7.28563	3351.15	2745.9	27.71	1547.9	1.1947
6.95446	3402.72	2783.0	27.464	1567.4	1.1934
6.64876	3450.29	2818.5	27.216	1586.0	1.1923
6.36568	3494.18	2852.6	26.965	1604.0	1.1913
6.10281	3534.66	2885.3	26.712	1621.3	1.1904
5.85805	3571.96	2916.8	26.457	1638.1	1.1897
5.6296	3606.28	2947.1	26.201	1654.3	1.189
5.41588	3637.76	2976.4	25.944	1670.0	1.1884
5.21551	3666.54	3004.7	25.687	1685.2	1.1879
5.02727	3692.7	3032.0	25.429	1700.0	1.1875
4.8501	3716.3	3058.3	25.17	1714.4	1.1872
4.68305	3737.35	3083.7	24.911	1728.3	1.187
4.52528	3755.85	3108.1	24.651	1741.7	1.1869
4.37602	3771.73	3131.6	24.39	1754.7	1.1868
4.23462	3784.9	3154.1	24.128	1767.3	1.1868
4.10047	3795.2	3175.4	23.865	1779.4	1.1869
3.97302	3802.45	3195.7	23.599	1791.0	1.1871
3.85179	3806.38	3214.7	23.331	1802.0	1.1874
3.73632	3806.67	3232.3	23.06	1812.4	1.1878
3.62623	3802.96	3248.4	22.786	1822.1	1.1883
3.52113	3794.83	3262.7	22.506	1831.0	1.189
3.42071	3781.83	3275.1	22.222	1839.1	1.1898
3.32465	3763.54	3285.4	21.932	1846.2	1.1908
3.23267	3739.59	3293.3	21.636	1852.2	1.1919
3.14453	3709.75	3298.7	21.334	1857.0	1.1933
3.05998	3673.98	3301.4	21.028	1860.6	1.1948
2.97881	3632.44	3301.4	20.717	1862.9	1.1965
2.90083	3585.51	3298.7	20.403	1863.9	1.1983
2.82584	3533.7	3293.5	20.088	1863.7	1.2003
2.75368	3477.61	3285.7	19.774	1862.3	1.2025
2.6842	3417.89	3275.6	19.461	1859.7	1.2048
2.61723	3355.13	3263.4	19.151	1856.0	1.2072
2.55266	3289.9	3249.2	18.845	1851.3	1.2097
2.49036	3222.7	3233.1	18.544	1845.6	1.2123
2.4302	3153.95	3215.4	18.248	1839.1	1.2151
2.37208	3084.03	3196.0	17.958	1831.6	1.2179
2.3159	3013.27	3175.1	17.674	1823.4	1.2207
2.26156	2941.93	3152.9	17.397	1814.3	1.2237
2.20897	2870.25	3129.4	17.127	1804.5	1.2267
2.15805	2798.43	3104.6	16.863	1794.0	1.2298
2.10872	2726.63	3078.7	16.605	1782.8	1.233
2.06091	2655.01	3051.7	16.355	1770.9	1.2362
2.01454	2583.68	3023.7	16.111	1758.4	1.2395
1.96956	2512.75	2994.7	15.874	1745.2	1.2429
1.92591	2442.3	2964.7	15.643	1731.5	1.2463
1.88351	2372.42	2933.9	15.419	1717.1	1.2498
1.84233	2303.2	2902.3	15.201	1702.1	1.2533
1.80231	2234.74	2869.9	14.99	1686.6	1.2569
1.7634	2167.2	2836.8	14.787	1670.5	1.2605
1.72556	2100.83	2803.2	14.591	1654.0	1.2641
1.68874	2036.04	2769.4	14.405	1637.0	1.2677
1.65289	1973.51	2735.8	14.232	1619.9	1.271
1.618	1914.29	2703.0	14.076	1602.8	1.2739
1.58401	1859.68	2672.0	13.943	1586.3	1.2762
1.55089	1810.9	2643.7	13.836	1570.7	1.2776
1.5186	1768.53	2618.6	13.759	1556.3	1.2781
1.48713	1732.29	2596.9	13.708	1543.3	1.2777
1.45643	1701.35	2578.1	13.679	1531.6	1.2764
1.42648	1674.72	2561.7	13.669	1520.9	1.2745
1.39726	1651.48	2547.2	13.673	1511.0	1.2722
1.36872	1630.89	2534.1	13.688	1501.9	1.2696
1.34086	1612.4	2522.3	13.712	1493.3	1.2667
1.31365	1595.58	2511.4	13.742	1485.1	1.2637
1.28706	1580.09	2501.2	13.777	1477.3	1.2606
1.26108	1565.71	2491.6	13.817	1469.7	1.2574
1.23568	1552.23	2482.4	13.861	1462.4	1.2542
1.21084	1539.51	2473.7	13.908	1455.3	1.2509
1.18655	1527.43	2465.2	13.957	1448.3	1.2477
1.16279	1515.89	2457.0	14.008	1441.5	1.2445
1.13954	1504.82	2448.9	14.062	1434.8	1.2414
1.11678	1494.16	2441.1	14.117	1428.2	1.2383
1.09451	1483.84	2433.4	14.174	1421.7	1.2352
1.07269	1473.84	2425.7	14.232	1415.3	1.2321
1.05133	1464.1	2418.2	14.291	1408.9	1.2292
1.0304	1454.6	2410.7	14.351	1402.6	1.2262
1.0099	1445.31	2403.3	14.412	1396.3	1.2234
0.9898	1436.21	2395.9	14.474	1390.1	1.2206
0.97011	1427.27	2388.5	14.537	1383.9	1.2178
0.95079	1418.48	2381.1	14.6	1377.8	1.2151
0.93186	1409.81	2373.8	14.664	1371.6	1.2125
0.91329	1401.26	2366.4	14.728	1365.5	1.2099
0.89507	1392.81	2359.0	14.793	1359.5	1.2074
0.87719	1384.44	2351.6	14.859	1353.4	1.2049
0.85965	1376.16	2344.1	14.925	1347.3	1.2025
0.84244	1368.03	2205.872874479314	14.989	1341.4	1.2001
0.82554	1360.81	2199.3328584998667	15.044	1336.3	1.198
0.80894	1353.58	2192.881239602566	15.098	1331.2	1.1958
0.79265	1346.33	2186.3410871831766	15.152	1326.1	1.1937
0.77665	1339.05	2179.711382208386	15.207	1321.0	1.1917
0.76093	1331.75	2172.915590874696	15.262	1315.8	1.1897
0.74548	1324.42	2166.0287231089164	15.317	1310.6	1.1878
0.73031	1317.05	2159.1400056713496	15.372	1305.4	1.1859
0.71539	1309.63	2151.99356539305	15.427	1300.1	1.1841
0.70074	1302.16	2144.844452030154	15.483	1294.8	1.1823
0.68632	1294.65	2137.601915024335	15.538	1289.5	1.1806
0.67216	1287.07	2130.1903162079357	15.593	1284.1	1.1789
0.65822	1279.42	2122.6092467556464	15.649	1278.6	1.1772
0.64452	1271.71	2115.0993579895107	15.704	1273.2	1.1756
0.63104	1263.92	2107.3280462443813	15.759	1267.7	1.1741
0.61779	1256.05	2099.385994553982	15.814	1262.1	1.1726
0.60474	1248.1	2091.439277593138	15.869	1256.5	1.1711
0.59191	1240.05	2083.229743012754	15.924	1250.8	1.1697
0.57927	1231.91	2075.0150868054425	15.979	1245.1	1.1683
0.56684	1223.65	2066.536900340542	16.033	1239.3	1.167
0.5546	1215.29	2058.053238771106	16.088	1233.5	1.1657
0.54255	1206.82	2049.3055392349356	16.141	1227.6	1.1645
0.53069	1198.22	2040.5521173161417	16.195	1221.7	1.1633
0.51901	1189.49	2031.534359103446	16.248	1215.7	1.1622
0.5075	1180.63	2022.3435491137718	16.3	1209.6	1.1611
0.49617	1171.63	2012.9793972151638	16.353	1203.4	1.16
0.485	1162.47	2003.5178393278702	16.404	1197.2	1.159
0.474	1153.16	1993.7918246464183	16.455	1190.9	1.1581
0.46317	1143.7	1983.892379896028	16.505	1184.5	1.1572
0.45249	1134.06	1973.8962823565128	16.554	1178.1	1.1564
0.44197	1124.24	1963.7268455380697	16.603	1171.6	1.1556
0.43159	1114.25	1953.1261612346411	16.651	1164.9	1.1549
0.42137	1104.07	1942.5198601974437	16.697	1158.2	1.1542
0.41129	1093.69	1931.650737214687	16.743	1151.4	1.1536
0.40135	1083.1	1920.6086581187503	16.787	1144.5	1.153
0.39155	1072.31	1909.3047745943893	16.83	1137.5	1.1525
0.38189	1061.3	1897.7400981922262	16.872	1130.4	1.1521
0.37236	1050.07	1886.0035972371804	16.913	1123.2	1.1517
0.36296	1038.61	1873.839870510363	16.952	1115.8	1.1514
0.35369	1026.92	1861.5861211788451	16.989	1108.4	1.1512
0.34455	1014.98	1848.9942455768582	17.025	1100.8	1.151
